population_growthRate,country,region,WorldHappiness2022
0.02529,Ivory Coast,Africa,5.235
0.02475,Gambia,Africa,5.164
0.03247,Ukraine,Europe,5.084
0.02835,Mozambique,Africa,5.048
0.02608,Cameroon,Africa,5.048
0.02581,Senegal,Africa,5.046
0.03809,Niger,Africa,5.003
0.02532,Burkina Faso,Africa,4.67
0.02678,Benin,Africa,4.623
0.02762,Uganda,Africa,4.603
0.031,Mali,Africa,4.479
0.02597,Sudan,Africa,4.362
0.0241,Madagascar,Africa,4.339
0.03111,Chad,Africa,4.251
0.02523,Ethiopia,Africa,4.241
0.02692,Mauritania,Africa,4.153
0.02747,Zambia,Africa,3.76
0.026,Malawi,Africa,3.75
0.02938,Tanzania,Africa,3.702
0.02683,Afghanistan,Asia,2.404
